  abandonar abandono abandona abandonas abandonamos abandonan
 seguir sigo sigue sigues seguimos siguen 
 sentir siento siente sientes sentimos sienten 
 ser soy es eres somos son 
 soltar suelto suelta sueltas soltamos sueltan 
 sonreír sonrío sonríe sonríes sonreímos sonríen 
 subir subo sube subes subimos suben 
 sumar sumo suma sumas sumamos suman 
 tapar tapo tapa tapas tapamos tapan 
 tener tengo tiene tienes tenemos tienen 
 tirar tiro tira tiras tiramos tiran 
 tocar toco toca tocas tocamos tocan 
 trabajar trabajo trabaja trabajamos trabajan 
 traer traigo trae traes traemos traen 
 unir uno une unes unimos unen 
 untar unto unta untas untamos untan 
 usar uso usa usas usamos usan 
 utilizar utilizo utiliza utilizas utilizamos utilizan 
 vaciar vacío vacía vacías vaciamos vacían 
 vender vendo vende vendes vendemos venden 
 venir vengo viene vienes venimos vienen 
 ver veo ve ves vemos ven 
 vestir visto viste vistes vestimos visten 
 viajar viajo viaja viajas viajamos viajan 
 vigilar vigilo vigila vigilas vigilamos vigilan 
 vivir vivo vive vives vivimos viven 
 volar vuelo vuela vuelas volamos vuelan 
 volver vuelvo vuelve vuelves volvemos vuelven 
 votar voto vota votas votamos votan 
 wasapear wasapeo wasapea wasapeas wasapeamos wasapean  
 zarpar zarpo zarpa zarpas zarpamos zarpan  
 zumbar zumbo zumba zumbas zumbamos zumban 
 sonar  sueno suena suenas sonamos  suenan 
